UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
DAY,1304985600,267,cadli,BTC-USD,3.8,5.99000840293274,3.8,5.79279447986793,1304985660,1305071760,3.81,5.99000840293274,1305064680,3.81,1304994600,5.79279447986793,522,56217.324,266466.70594218,56217.324,266466.70594218,56217.324,266466.70594218,56217.324,266466.70594218
DAY,1305072000,267,cadli,BTC-USD,5.79279447986793,5.90451970855714,4.61,5.5,1305072060,1305158220,5.79508580676564,5.90451970855714,1305085320,4.61,1305084120,5.5,551,52569.146,281496.85721703,52569.146,281496.85721703,52569.146,281496.85721703,52569.146,281496.85721703
DAY,1305158400,267,cadli,BTC-USD,5.5,6.48899927710843,5.22126061485424,6.30019,1305158940,1305244560,5.4898,6.48899927710843,1305237000,5.22126061485424,1305184380,6.30019,461,31722.464,184839.99045593,31722.464,184839.99045593,31722.464,184839.99045593,31722.464,184839.99045593
DAY,1305244800,267,cadli,BTC-USD,6.30019,8.44,6.30019,8.194,1305244800,1305331140,6.3201,8.44,1305326220,6.3201,1305245040,8.194,698,64003.373,478840.49158364,64003.373,478840.49158364,64003.373,478840.49158364,64003.373,478840.49158364
DAY,1305331200,267,cadli,BTC-USD,8.194,8.8999,5.89205806240801,7.06292404177815,1305331260,1305417480,8.12010466666667,8.8999,1305340860,5.89205806240801,1305411240,7.06292404177815,688,55390.451,435571.01773057,55390.451,435571.01773057,55390.451,435571.01773057,55390.451,435571.01773057
DAY,1305417600,267,cadli,BTC-USD,7.06292404177815,7.65541621626703,6.20001,6.98701,1305417600,1305503880,7.0022,7.65541621626703,1305420780,6.20001,1305479280,6.98701,499,18294.87,123255.50104911,18294.87,123255.50104911,18294.87,123255.50104911,18294.87,123255.50104911
DAY,1305504000,267,cadli,BTC-USD,6.98701,8.5,6.769,7.978511937,1305504000,1305590340,6.9899,8.5,1305554160,6.769,1305516840,7.978511937,713,44141.405,343050.47371671,44141.405,343050.47371671,44141.405,343050.47371671,44141.405,343050.47371671
DAY,1305590400,267,cadli,BTC-USD,7.978511937,8.38900858457824,6.99487841935412,7.22605407429376,1305590460,1305676620,8.03212076814,8.38900858457824,1305612480,6.99487841935412,1305668460,7.22605407429376,561,35345.455,265868.94554701,35345.455,265868.94554701,35345.455,265868.94554701,35345.455,265868.94554701
DAY,1305676800,267,cadli,BTC-USD,7.22605407429376,7.4999017233085,6.6,6.88,1305676860,1305762780,7.1911,7.4999017233085,1305685980,6.6,1305747660,6.88,570,25403.435,181331.1647892,25403.435,181331.1647892,25403.435,181331.1647892,25403.435,181331.1647892
DAY,1305763200,267,cadli,BTC-USD,6.88,7.3397,6.61,6.8062426171875,1305763500,1305849540,6.7002,7.3397,1305776160,6.61,1305801840,6.8062426171875,525,24436.409,170134.79940416,24436.409,170134.79940416,24436.409,170134.79940416,24436.409,170134.79940416
DAY,1305849600,267,cadli,BTC-USD,6.8062426171875,7.09990497,5.5901,5.59039,1305849600,1305935580,6.8051,7.09990497,1305859380,5.5901,1305934920,5.59039,653,44460.435,278992.33745624,44460.435,278992.33745624,44460.435,278992.33745624,44460.435,278992.33745624
DAY,1305936000,267,cadli,BTC-USD,5.59039,6.514,5.59039,6.11973305231837,1305941280,1306022340,5.77965454545455,6.514,1305941760,5.60799,1305963360,6.11973305231837,560,31111.902,185640.17008586,31111.902,185640.17008586,31111.902,185640.17008586,31111.902,185640.17008586
DAY,1306022400,267,cadli,BTC-USD,6.11973305231837,6.7594,5.99082599448511,6.6901,1306022460,1306108680,6.14,6.7594,1306108560,5.99082599448511,1306025640,6.6901,595,23872.154,154432.51590668,23872.154,154432.51590668,23872.154,154432.51590668,23872.154,154432.51590668
DAY,1306108800,267,cadli,BTC-USD,6.6901,7.43821222035398,6.68999673363636,7.14998017225748,1306108860,1306195080,6.6900329125,7.43821222035398,1306126500,6.68999673363636,1306111140,7.14998017225748,706,35279.88,250601.29717819,35279.88,250601.29717819,35279.88,250601.29717819,35279.88,250601.29717819
DAY,1306195200,267,cadli,BTC-USD,7.14998017225748,7.50997182153846,6.96,7.42,1306195260,1306281540,7.1499,7.50997182153846,1306277340,6.96,1306227900,7.42,497,29282.479,211827.28183543,29282.479,211827.28183543,29282.479,211827.28183543,29282.479,211827.28183543
DAY,1306281600,267,cadli,BTC-USD,7.42,9.25970000421719,7.21612,8.3997,1306281660,1306367940,7.48990230520977,9.25970000421719,1306366920,7.21612,1306310820,8.3997,717,64049.942,510905.17773898,64049.942,510905.17773898,64049.942,510905.17773898,64049.942,510905.17773898
DAY,1306368000,267,cadli,BTC-USD,8.3997,8.94139032835821,8.01,8.79127529478619,1306368000,1306454340,8.25738545620695,8.94139032835821,1306373220,8.01,1306370940,8.79127529478619,907,28644.99,244820.48195604,28644.99,244820.48195604,28644.99,244820.48195604,28644.99,244820.48195604
DAY,1306454400,267,cadli,BTC-USD,8.79127529478619,8.83,8.5002,8.5002,1306454460,1306540740,8.7002,8.83,1306485360,8.5002,1306540740,8.5002,597,14431.838,125149.04638679,14431.838,125149.04638679,14431.838,125149.04638679,14431.838,125149.04638679
DAY,1306540800,267,cadli,BTC-USD,8.5002,8.69606949297338,8.11,8.3001,1306541160,1306627080,8.55,8.69606949297338,1306576020,8.11,1306617660,8.3001,508,12247.722,103463.69444804,12247.722,103463.69444804,12247.722,103463.69444804,12247.722,103463.69444804
